country,AutismRates,In percentage
India,290.95,29.095%
China,350.53,35.053%
United States,603.38,60.338%
Indonesia,310.09,31.009%
Pakistan,313.89,31.389%
Nigeria,394.52,39.452%
Brazil,345.89,34.589%
Bangladesh,294.44,29.444%
Russia,369.38,36.938%
Ethiopia,408.92,40.892%
Mexico,370.36,37.036%
Japan,604.72,60.472%
Philippines,323.96,32.396%
Egypt,299.7,29.97%
DR Congo,398.37,39.837%
Vietnam,310.09,31.009%
Iran,368.23,36.823%
Turkey,286.62,28.662%
Germany,525.31,52.531%
Thailand,291.65,29.165%
Tanzania,398.91,39.891%
United Kingdom,700.07,70.007%
France,425.41,42.541%
South Africa,377.22,37.722%
Italy,516.09,51.609%
Kenya,402.57,40.257%
Myanmar,306.57,30.657%
Colombia,330.07,33.007%
South Korea,507.76,50.776%
Uganda,412.78,41.278%
Sudan,302.1,30.21%
Spain,535.14,53.514%
Iraq,297.84,29.784%
Algeria,292.45,29.245%
Argentina,470.25,47.025%
Afghanistan,311.41,31.141%
Poland,345.13,34.513%
Canada,565.85,56.585%
Morocco,287.53,28.753%
Ukraine,346.29,34.629%
Angola,396.2,39.62%
Saudi Arabia,314.55,31.455%
Uzbekistan,384.3,38.43%
Yemen,304.22,30.422%
Mozambique,401.26,40.126%
Ghana,387.22,38.722%
Peru,343.19,34.319%
Malaysia,324.63,32.463%
Nepal,295.24,29.524%
Madagascar,402.21,40.221%
Ivory Coast,401.76,40.176%
Venezuela,310.15,31.015%
Cameroon,397.12,39.712%
Niger,405.78,40.578%
Australia,412.62,41.262%
North Korea,251.67,25.167%
Syria,286.45,28.645%
Mali,401.88,40.188%
Taiwan,199,19.9%
Burkina Faso,396.52,39.652%
Sri Lanka,312.99,31.299%
Malawi,399.53,39.953%
Zambia,401.84,40.184%
Kazakhstan,370.25,37.025%
Chile,469.22,46.922%
Romania,335.89,33.589%
Chad,405.1,40.51%
Somalia,413.45,41.345%
Ecuador,343.93,34.393%
Guatemala,342.71,34.271%
Senegal,397.68,39.768%
Netherlands,591.54,59.154%
Cambodia,315,31.5%
Zimbabwe,388.08,38.808%
Guinea,394.75,39.475%
